metric,group,time_bin_start_day,n_wells,center,error,metric_label
network_bursts_inter_event_interval_mean_ratio,IVH-E,-3,4,1.2198067168210867,0.24760213271581785,network_bursts_inter_event_interval_mean (ratio to baseline)
network_bursts_inter_event_interval_mean_ratio,IVH-L,-3,4,1.0884861816304958,0.04178031934554432,network_bursts_inter_event_interval_mean (ratio to baseline)
network_bursts_inter_event_interval_mean_ratio,NPH,-3,4,1.2829162372419032,0.09358333590225787,network_bursts_inter_event_interval_mean (ratio to baseline)
network_bursts_inter_event_interval_mean_ratio,10uM,0,16,0.9104037946962802,0.12406615285305672,network_bursts_inter_event_interval_mean (ratio to baseline)
network_bursts_inter_event_interval_mean_ratio,20uM,0,12,0.8486439945559132,0.08572156654313019,network_bursts_inter_event_interval_mean (ratio to baseline)
network_bursts_inter_event_interval_mean_ratio,CT,0,16,0.8932801630599347,0.06734918575437857,network_bursts_inter_event_interval_mean (ratio to baseline)
network_bursts_inter_event_interval_mean_ratio,IVH-E,0,16,0.8761389026227974,0.059825779881093,network_bursts_inter_event_interval_mean (ratio to baseline)
network_bursts_inter_event_interval_mean_ratio,IVH-L,0,16,0.9311279053788978,0.051655505801905706,network_bursts_inter_event_interval_mean (ratio to baseline)
network_bursts_inter_event_interval_mean_ratio,NPH,0,16,1.0205639463162517,0.05864659074389549,network_bursts_inter_event_interval_mean (ratio to baseline)
network_bursts_inter_event_interval_mean_ratio,10uM,3,12,1.2695606431494293,0.2774674261383037,network_bursts_inter_event_interval_mean (ratio to baseline)
network_bursts_inter_event_interval_mean_ratio,20uM,3,9,0.7661619744450007,0.15547677713266858,network_bursts_inter_event_interval_mean (ratio to baseline)
network_bursts_inter_event_interval_mean_ratio,CT,3,12,1.027542132870557,0.05484657674697842,network_bursts_inter_event_interval_mean (ratio to baseline)
network_bursts_inter_event_interval_mean_ratio,IVH-E,3,10,0.787833133074116,0.07102039760845284,network_bursts_inter_event_interval_mean (ratio to baseline)
network_bursts_inter_event_interval_mean_ratio,IVH-L,3,11,1.292876512693441,0.16915237358352328,network_bursts_inter_event_interval_mean (ratio to baseline)
network_bursts_inter_event_interval_mean_ratio,NPH,3,12,1.7886671498693032,0.14437136051936678,network_bursts_inter_event_interval_mean (ratio to baseline)
network_bursts_inter_event_interval_mean_ratio,10uM,6,12,1.0810158543485997,0.2656444917549014,network_bursts_inter_event_interval_mean (ratio to baseline)
network_bursts_inter_event_interval_mean_ratio,20uM,6,9,0.6085934383729867,0.11481724878096317,network_bursts_inter_event_interval_mean (ratio to baseline)
network_bursts_inter_event_interval_mean_ratio,CT,6,11,0.7703068433311028,0.06188061354626381,network_bursts_inter_event_interval_mean (ratio to baseline)
network_bursts_inter_event_interval_mean_ratio,IVH-E,6,9,0.508820699714616,0.08988948232601933,network_bursts_inter_event_interval_mean (ratio to baseline)
network_bursts_inter_event_interval_mean_ratio,IVH-L,6,9,0.853103622575013,0.15165760116660357,network_bursts_inter_event_interval_mean (ratio to baseline)
network_bursts_inter_event_interval_mean_ratio,NPH,6,12,1.7390106517088377,0.27708172701170103,network_bursts_inter_event_interval_mean (ratio to baseline)
network_bursts_inter_event_interval_mean_ratio,10uM,9,16,0.840672877484931,0.14113908056504454,network_bursts_inter_event_interval_mean (ratio to baseline)
network_bursts_inter_event_interval_mean_ratio,20uM,9,11,0.6199632889005108,0.10833393096846955,network_bursts_inter_event_interval_mean (ratio to baseline)
network_bursts_inter_event_interval_mean_ratio,CT,9,15,0.9145577782600705,0.21120837004230109,network_bursts_inter_event_interval_mean (ratio to baseline)
network_bursts_inter_event_interval_mean_ratio,IVH-E,9,8,0.5193613736755369,0.1559784828581997,network_bursts_inter_event_interval_mean (ratio to baseline)
network_bursts_inter_event_interval_mean_ratio,IVH-L,9,12,0.8550363964582187,0.17999136640726962,network_bursts_inter_event_interval_mean (ratio to baseline)
network_bursts_inter_event_interval_mean_ratio,NPH,9,15,0.9600365684507667,0.15804129239017392,network_bursts_inter_event_interval_mean (ratio to baseline)
network_bursts_burst_peak_mean_ratio,10uM,-6,12,0.7399297056259674,0.13627030497102796,network_bursts_burst_peak_mean (ratio to baseline)
network_bursts_burst_peak_mean_ratio,20uM,-6,6,0.9088039092757345,0.24691225461041336,network_bursts_burst_peak_mean (ratio to baseline)
network_bursts_burst_peak_mean_ratio,CT,-6,10,0.9117434185320159,0.17359799329811085,network_bursts_burst_peak_mean (ratio to baseline)
network_bursts_burst_peak_mean_ratio,IVH-E,-6,10,0.5863473332911917,0.11326898514254435,network_bursts_burst_peak_mean (ratio to baseline)
network_bursts_burst_peak_mean_ratio,IVH-L,-6,11,0.8658866869177101,0.21874600216358708,network_bursts_burst_peak_mean (ratio to baseline)
network_bursts_burst_peak_mean_ratio,NPH,-6,11,1.1704618122522847,0.18398263192295586,network_bursts_burst_peak_mean (ratio to baseline)
network_bursts_burst_peak_mean_ratio,10uM,-3,4,1.226702715230376,0.17824186515171891,network_bursts_burst_peak_mean (ratio to baseline)
network_bursts_burst_peak_mean_ratio,20uM,-3,3,1.3099445198106308,0.17194045960656348,network_bursts_burst_peak_mean (ratio to baseline)
network_bursts_burst_peak_mean_ratio,CT,-3,4,1.0811202806831899,0.13073388349377565,network_bursts_burst_peak_mean (ratio to baseline)
network_bursts_burst_peak_mean_ratio,IVH-E,-3,4,1.0044396066691874,0.16371550563273057,network_bursts_burst_peak_mean (ratio to baseline)
network_bursts_burst_peak_mean_ratio,IVH-L,-3,4,1.128869232913349,0.15220385333515007,network_bursts_burst_peak_mean (ratio to baseline)
network_bursts_burst_peak_mean_ratio,NPH,-3,4,1.5432691086411658,0.17920332432612818,network_bursts_burst_peak_mean (ratio to baseline)
network_bursts_burst_peak_mean_ratio,10uM,0,16,0.9474926491261546,0.06420591238260015,network_bursts_burst_peak_mean (ratio to baseline)
network_bursts_burst_peak_mean_ratio,20uM,0,12,0.9787992607026949,0.06995334484387211,network_bursts_burst_peak_mean (ratio to baseline)
network_bursts_burst_peak_mean_ratio,CT,0,16,0.9543291596368499,0.055234997314431704,network_bursts_burst_peak_mean (ratio to baseline)
network_bursts_burst_peak_mean_ratio,IVH-E,0,16,0.9543195947242057,0.06409256145135314,network_bursts_burst_peak_mean (ratio to baseline)
network_bursts_burst_peak_mean_ratio,IVH-L,0,16,1.0541536989854912,0.07476659235181696,network_bursts_burst_peak_mean (ratio to baseline)
network_bursts_burst_peak_mean_ratio,NPH,0,16,1.1323404715303917,0.08792238125528763,network_bursts_burst_peak_mean (ratio to baseline)
network_bursts_burst_peak_mean_ratio,10uM,3,12,1.0293635322078265,0.1100754455159447,network_bursts_burst_peak_mean (ratio to baseline)
network_bursts_burst_peak_mean_ratio,20uM,3,9,0.8492330675388273,0.1205062115331697,network_bursts_burst_peak_mean (ratio to baseline)
network_bursts_burst_peak_mean_ratio,CT,3,12,0.7967093339539194,0.12798027325613834,network_bursts_burst_peak_mean (ratio to baseline)
network_bursts_burst_peak_mean_ratio,IVH-E,3,10,0.9600773871264178,0.1410229763768188,network_bursts_burst_peak_mean (ratio to baseline)
network_bursts_burst_peak_mean_ratio,IVH-L,3,11,0.9677598170409667,0.17178668039619105,network_bursts_burst_peak_mean (ratio to baseline)
network_bursts_burst_peak_mean_ratio,NPH,3,12,1.1510240629351034,0.1056232680322818,network_bursts_burst_peak_mean (ratio to baseline)
network_bursts_burst_peak_mean_ratio,10uM,6,12,1.031500553938055,0.13484185609470128,network_bursts_burst_peak_mean (ratio to baseline)
network_bursts_burst_peak_mean_ratio,20uM,6,9,1.0154583524797132,0.2649318848280139,network_bursts_burst_peak_mean (ratio to baseline)
network_bursts_burst_peak_mean_ratio,CT,6,11,0.7261479347922578,0.09772239231750744,network_bursts_burst_peak_mean (ratio to baseline)
network_bursts_burst_peak_mean_ratio,IVH-E,6,9,0.4813443724681008,0.10204021880064458,network_bursts_burst_peak_mean (ratio to baseline)
network_bursts_burst_peak_mean_ratio,IVH-L,6,9,0.5195276039513473,0.10629156351317158,network_bursts_burst_peak_mean (ratio to baseline)
network_bursts_burst_peak_mean_ratio,NPH,6,12,1.6188343173383615,0.24800673003349546,network_bursts_burst_peak_mean (ratio to baseline)
network_bursts_burst_peak_mean_ratio,10uM,9,16,1.046167195377861,0.15261359781848235,network_bursts_burst_peak_mean (ratio to baseline)
network_bursts_burst_peak_mean_ratio,20uM,9,11,0.8075000958346443,0.07989258014962597,network_bursts_burst_peak_mean (ratio to baseline)
network_bursts_burst_peak_mean_ratio,CT,9,15,0.7117318537961326,0.16691922773042586,network_bursts_burst_peak_mean (ratio to baseline)
network_bursts_burst_peak_mean_ratio,IVH-E,9,8,0.5479546660605479,0.11894317140801518,network_bursts_burst_peak_mean (ratio to baseline)
network_bursts_burst_peak_mean_ratio,IVH-L,9,12,0.7087109118024331,0.15830039784612712,network_bursts_burst_peak_mean (ratio to baseline)
network_bursts_burst_peak_mean_ratio,NPH,9,15,1.233177883403562,0.19017199626590378,network_bursts_burst_peak_mean (ratio to baseline)
n_units_network_json_ratio,10uM,-6,12,0.9214294554373798,0.0940834305238699,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,20uM,-6,9,0.6691621210821257,0.15535749574445926,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,CT,-6,12,0.9025714536020911,0.11923318419075238,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,IVH-E,-6,12,0.7845525240709227,0.13497397790461538,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,IVH-L,-6,12,1.0617093419597738,0.16653397590030652,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,NPH,-6,12,1.0565985978686248,0.11012496015427312,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,10uM,-3,4,1.0282854055423394,0.022003035524700554,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,20uM,-3,3,0.9397625439171916,0.11162677114637773,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,CT,-3,4,0.9531441947329534,0.0707900110880375,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,IVH-E,-3,4,1.0014833203569264,0.1277082506648122,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,IVH-L,-3,4,1.1385991955792103,0.14320812415794468,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,NPH,-3,4,1.1605488194232807,0.1261614880994561,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,10uM,0,16,1.0773302637117022,0.04357724854339285,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,20uM,0,12,1.0123966468419023,0.050735994594440614,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,CT,0,16,1.035671192449887,0.058992919350446114,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,IVH-E,0,16,1.0020728408020576,0.05520404573675327,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,IVH-L,0,16,1.063409599591132,0.05880294788852182,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,NPH,0,16,1.0554307798917382,0.06896174709624786,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,10uM,3,12,1.2547378430097111,0.05605159089656551,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,20uM,3,9,1.1461005917844092,0.08060764366064065,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,CT,3,12,0.9345290191398549,0.09324187028762977,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,IVH-E,3,12,1.0774047775541375,0.12890882016649002,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,IVH-L,3,12,1.4623495105200013,0.07137565760595914,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,NPH,3,12,0.9911642382728413,0.08106981502587196,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,10uM,6,12,1.5871746814599603,0.19618537669282246,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,20uM,6,9,1.3870539573727676,0.15550553087627644,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,CT,6,12,1.0620598544905822,0.14466776706203935,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,IVH-E,6,12,0.35893564841514625,0.09840507787996784,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,IVH-L,6,12,1.0945609823280684,0.1342498507304973,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,NPH,6,12,1.3921716851053674,0.15062426194857004,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,10uM,9,16,1.3758686343119444,0.13982001684102313,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,20uM,9,12,1.1052129652640328,0.1369347009385033,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,CT,9,16,0.917568045971825,0.13396174217139423,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,IVH-E,9,15,0.38741354719301335,0.10503779989647581,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,IVH-L,9,15,1.3216649291073175,0.20938911110670805,n_units_network_json (ratio to baseline)
n_units_network_json_ratio,NPH,9,16,1.2810030865877196,0.15031867745746277,n_units_network_json (ratio to baseline)
unit_firing_rate_ratio,10uM,-6,12,0.8879020534043606,0.10752090450871826,unit_firing_rate (ratio to baseline)
unit_firing_rate_ratio,20uM,-6,9,0.654501982949674,0.06217152789847764,unit_firing_rate (ratio to baseline)
unit_firing_rate_ratio,CT,-6,12,0.5623698126951079,0.043683112615705434,unit_firing_rate (ratio to baseline)
unit_firing_rate_ratio,IVH-E,-6,12,0.707482896750505,0.05700435464012955,unit_firing_rate (ratio to baseline)
unit_firing_rate_ratio,IVH-L,-6,12,0.6085534435209499,0.05539867688205022,unit_firing_rate (ratio to baseline)
unit_firing_rate_ratio,NPH,-6,12,0.7037982250654727,0.05327292098103773,unit_firing_rate (ratio to baseline)
unit_firing_rate_ratio,10uM,-3,4,1.1372186187077604,0.07872333608558839,unit_firing_rate (ratio to baseline)
unit_firing_rate_ratio,20uM,-3,3,1.0514445702180595,0.10044686620395345,unit_firing_rate (ratio to baseline)
unit_firing_rate_ratio,CT,-3,4,1.0400361189060794,0.07481086678309005,unit_firing_rate (ratio to baseline)
unit_firing_rate_ratio,IVH-E,-3,4,0.9016067498015201,0.12062805805513635,unit_firing_rate (ratio to baseline)
unit_firing_rate_ratio,IVH-L,-3,4,0.970909212594468,0.10517306950652179,unit_firing_rate (ratio to baseline)
unit_firing_rate_ratio,NPH,-3,4,1.0525425943070243,0.03156428492892949,unit_firing_rate (ratio to baseline)
unit_firing_rate_ratio,10uM,0,16,1.041802290778785,0.03767993428755762,unit_firing_rate (ratio to baseline)
